Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,4.5,4.4,4.1,3.7,3.6,4.2,4.1,3.9,3.6,3.5,3.5,3.7
2019,4.4,4.1,3.9,3.3,3.4,3.8,4,3.8,3.3,3.3,3.3,3.4
2020,4,3.8,4.5,14.4,13,11.2,10.5,8.5,7.7,6.6,6.4,6.5
2021,6.8,6.6,6.2,5.7,5.5,6.1,5.7,5.3,4.6,4.3,3.9,3.7
2022,4.4,4.1,3.8,3.3,3.4,3.8,3.8,3.8,3.3,,,
,,,,,,,,,,,,
Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04000000,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,2016 to 2022,,,,,,,,,,,
